#### BURR RIDGE 1.9 SW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0079	2011-12-09	5	10	-9999	0.02
COCORAHS	US1ILDP0079	2011-12-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-14	140	0	-9999	0.55
COCORAHS	US1ILDP0079	2011-12-15	211	0	-9999	0.83
COCORAHS	US1ILDP0079	2011-12-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-17	3	10	-9999	0.01
COCORAHS	US1ILDP0079	2011-12-18	3	8	-9999	0.01
COCORAHS	US1ILDP0079	2011-12-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-21	3	0	-9999	0.01
COCORAHS	US1ILDP0079	2011-12-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-27	53	0	-9999	0.21
COCORAHS	US1ILDP0079	2011-12-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2011-12-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-13	84	132	-9999	0.33
COCORAHS	US1ILDP0079	2012-01-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-17	30	0	-9999	0.12
COCORAHS	US1ILDP0079	2012-01-18	10	5	-9999	0.04
COCORAHS	US1ILDP0079	2012-01-19	3	5	-9999	0.01
COCORAHS	US1ILDP0079	2012-01-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-21	152	191	-9999	0.6
COCORAHS	US1ILDP0079	2012-01-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-23	180	0	-9999	0.71
COCORAHS	US1ILDP0079	2012-01-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-28	23	36	-9999	0.09
COCORAHS	US1ILDP0079	2012-01-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-01-31	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-04	33	0	-9999	0.13
COCORAHS	US1ILDP0079	2012-02-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-11	20	25	-9999	0.08
COCORAHS	US1ILDP0079	2012-02-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-14	13	13	-9999	0.05
COCORAHS	US1ILDP0079	2012-02-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-16	61	0	-9999	0.24
COCORAHS	US1ILDP0079	2012-02-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-21	25	10	-9999	0.1
COCORAHS	US1ILDP0079	2012-02-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-24	104	30	-9999	0.41
COCORAHS	US1ILDP0079	2012-02-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-02-29	99	0	-9999	0.39
COCORAHS	US1ILDP0079	2012-03-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-08	33	0	-9999	0.13
COCORAHS	US1ILDP0079	2012-03-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-12	71	0	-9999	0.28
COCORAHS	US1ILDP0079	2012-03-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-23	81	0	-9999	0.32
COCORAHS	US1ILDP0079	2012-03-24	94	0	-9999	0.37
COCORAHS	US1ILDP0079	2012-03-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-03-31	53	0	-9999	0.21
COCORAHS	US1ILDP0079	2012-04-01	36	0	-9999	0.14
COCORAHS	US1ILDP0079	2012-04-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-09	3	0	-9999	0.01
COCORAHS	US1ILDP0079	2012-04-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-14	20	0	-9999	0.08
COCORAHS	US1ILDP0079	2012-04-15	328	0	-9999	1.29
COCORAHS	US1ILDP0079	2012-04-16	168	-9999	-9999	0.66
COCORAHS	US1ILDP0079	2012-04-17	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-19	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2012-04-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-21	8	-9999	-9999	0.03
COCORAHS	US1ILDP0079	2012-04-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-26	8	-9999	-9999	0.03
COCORAHS	US1ILDP0079	2012-04-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-04-28	58	-9999	-9999	0.23
COCORAHS	US1ILDP0079	2012-04-29	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-04-30	38	-9999	-9999	0.15
COCORAHS	US1ILDP0079	2012-05-01	66	-9999	-9999	0.26
COCORAHS	US1ILDP0079	2012-05-02	104	-9999	-9999	0.41
COCORAHS	US1ILDP0079	2012-05-03	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-05-04	239	-9999	-9999	0.94
COCORAHS	US1ILDP0079	2012-05-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-07	505	-9999	-9999	1.99
COCORAHS	US1ILDP0079	2012-05-08	33	-9999	-9999	0.13
COCORAHS	US1ILDP0079	2012-05-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-10	23	-9999	-9999	0.09
COCORAHS	US1ILDP0079	2012-05-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-12	41	-9999	-9999	0.16
COCORAHS	US1ILDP0079	2012-05-13	107	-9999	-9999	0.42
COCORAHS	US1ILDP0079	2012-05-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-16	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2012-05-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-21	46	-9999	-9999	0.18
COCORAHS	US1ILDP0079	2012-05-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-29	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-05-31	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2012-06-01	229	-9999	-9999	0.9
COCORAHS	US1ILDP0079	2012-06-02	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-03	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-06-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-17	163	-9999	-9999	0.64
COCORAHS	US1ILDP0079	2012-06-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-22	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-06-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-06-29	43	-9999	-9999	0.17
COCORAHS	US1ILDP0079	2012-06-30	97	-9999	-9999	0.38
COCORAHS	US1ILDP0079	2012-07-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-02	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2012-07-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-14	79	-9999	-9999	0.31
COCORAHS	US1ILDP0079	2012-07-15	36	-9999	-9999	0.14
COCORAHS	US1ILDP0079	2012-07-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-19	373	-9999	-9999	1.47
COCORAHS	US1ILDP0079	2012-07-20	18	-9999	-9999	0.07
COCORAHS	US1ILDP0079	2012-07-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-23	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-25	84	-9999	-9999	0.33
COCORAHS	US1ILDP0079	2012-07-26	25	-9999	-9999	0.1
COCORAHS	US1ILDP0079	2012-07-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-28	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-07-31	36	-9999	-9999	0.14
COCORAHS	US1ILDP0079	2012-08-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-05	356	-9999	-9999	1.4
COCORAHS	US1ILDP0079	2012-08-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-09	13	-9999	-9999	0.05
COCORAHS	US1ILDP0079	2012-08-10	13	-9999	-9999	0.05
COCORAHS	US1ILDP0079	2012-08-11	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-13	33	-9999	-9999	0.13
COCORAHS	US1ILDP0079	2012-08-14	56	-9999	-9999	0.22
COCORAHS	US1ILDP0079	2012-08-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-17	71	-9999	-9999	0.28
COCORAHS	US1ILDP0079	2012-08-18	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-21	23	-9999	-9999	0.09
COCORAHS	US1ILDP0079	2012-08-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-23	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2012-08-24	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-26	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-27	820	-9999	-9999	3.23
COCORAHS	US1ILDP0079	2012-08-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-08-31	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-02	89	-9999	-9999	0.35
COCORAHS	US1ILDP0079	2012-09-03	3	-9999	-9999	0.01
COCORAHS	US1ILDP0079	2012-09-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-05	25	-9999	-9999	0.1
COCORAHS	US1ILDP0079	2012-09-06	51	-9999	-9999	0.2
COCORAHS	US1ILDP0079	2012-09-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-08	61	-9999	-9999	0.24
COCORAHS	US1ILDP0079	2012-09-09	53	-9999	-9999	0.21
COCORAHS	US1ILDP0079	2012-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-14	46	-9999	-9999	0.18
COCORAHS	US1ILDP0079	2012-09-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-18	58	-9999	-9999	0.23
COCORAHS	US1ILDP0079	2012-09-19	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-20	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-09-22	20	-9999	-9999	0.08
COCORAHS	US1ILDP0079	2012-09-23	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-04	10	-9999	-9999	0.04
COCORAHS	US1ILDP0079	2012-10-05	33	-9999	-9999	0.13
COCORAHS	US1ILDP0079	2012-10-06	0	-9999	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-07	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-10	58	-9999	-9999	0.23
COCORAHS	US1ILDP0079	2012-10-11	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-12	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-13	5	-9999	-9999	0.02
COCORAHS	US1ILDP0079	2012-10-14	221	-9999	-9999	0.87
COCORAHS	US1ILDP0079	2012-10-15	58	-9999	-9999	0.23
COCORAHS	US1ILDP0079	2012-10-16	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-17	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-18	150	0	-9999	0.59
COCORAHS	US1ILDP0079	2012-10-19	46	0	-9999	0.18
COCORAHS	US1ILDP0079	2012-10-20	15	0	-9999	0.06
COCORAHS	US1ILDP0079	2012-10-21	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-22	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-23	81	0	-9999	0.32
COCORAHS	US1ILDP0079	2012-10-24	36	0	-9999	0.14
COCORAHS	US1ILDP0079	2012-10-25	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-26	97	0	-9999	0.38
COCORAHS	US1ILDP0079	2012-10-27	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-28	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-29	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-30	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-10-31	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-04	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-07	48	0	-9999	0.19
COCORAHS	US1ILDP0079	2012-11-08	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-11	46	0	-9999	0.18
COCORAHS	US1ILDP0079	2012-11-12	91	0	-9999	0.36
COCORAHS	US1ILDP0079	2012-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-15	0	0	-9999	0.0
COCORAHS	US1ILDP0079	2012-11-16	0	0	-9999	0.0
